pull_order,request_timing,batch_priority,batch_title,oa_id,folder_title,office_or_staff_file,finding_aid_part,research_value,onsite_action,batch_rationale,request_status,box_or_container,withdrawal_or_redaction_notes,candidate_document_count,pages_scanned_or_photographed,documents_promoted_to_volume,source_note_path_verified,same_day_decision,compiler_notes
01.01,Pre-request before visit,First pull,European Affairs policy core,1073,NATO Working Group [2],"European Affairs-Vershbow, Alexander",Part2,Direct enlargement policy process.,"Read early in the visit and promote dated policy memoranda, options papers, or cleared staff records.","These files are most likely to contain document-level policy memoranda, working-group papers, staff notes, and cleared materials on NATO enlargement, NATO-Russia, ESDI, and the strategic concept.",,,,,,,,,
01.02,Pre-request before visit,First pull,European Affairs policy core,1073,NATO Expansion and Russia,"European Affairs-Vershbow, Alexander",Part2,Core NATO-Russia/enlargement negotiation file.,"Read for document-level candidates with date, participants, markings, page span, release status, and source-note path.","These files are most likely to contain document-level policy memoranda, working-group papers, staff notes, and cleared materials on NATO enlargement, NATO-Russia, ESDI, and the strategic concept.",,,,,,,,,
01.03,Pre-request before visit,First pull,European Affairs policy core,1073,"European Security Working Group, 1994 [2]-[3]","European Affairs-Vershbow, Alexander",Part2,Early architecture and enlargement framing.,"Read early in the visit and promote dated policy memoranda, options papers, or cleared staff records.","These files are most likely to contain document-level policy memoranda, working-group papers, staff notes, and cleared materials on NATO enlargement, NATO-Russia, ESDI, and the strategic concept.",,,,,,,,,
01.04,Pre-request before visit,First pull,European Affairs policy core,900,"European Security/NATO Expansion, December 1994-January 1995 [2]-[3]","European Affairs-Vershbow, Alexander",Part2,Early NATO expansion policy window.,"Read for document-level candidates with date, participants, markings, page span, release status, and source-note path.","These files are most likely to contain document-level policy memoranda, working-group papers, staff notes, and cleared materials on NATO enlargement, NATO-Russia, ESDI, and the strategic concept.",,,,,,,,,
01.05,Pre-request before visit,First pull,European Affairs policy core,895,"POTUS Trip to Madrid, Spain for NATO Summit, July 7-10, 1997 [Binder] [2]","European Affairs-Vershbow, Alexander",Part2,Madrid summit decision package.,"Read early in the visit and promote dated policy memoranda, options papers, or cleared staff records.","These files are most likely to contain document-level policy memoranda, working-group papers, staff notes, and cleared materials on NATO enlargement, NATO-Russia, ESDI, and the strategic concept.",,,,,,,,,
01.06,Pre-request before visit,First pull,European Affairs policy core,3211,NATO-PFP; NATO-Russia; NATO-Defense Planning; NATO-General,"European Affairs-Yee, Hoyt",Part2,Late-period NATO policy and partnership files.,"Read early in the visit and promote dated policy memoranda, options papers, or cleared staff records.","These files are most likely to contain document-level policy memoranda, working-group papers, staff notes, and cleared materials on NATO enlargement, NATO-Russia, ESDI, and the strategic concept.",,,,,,,,,
01.07,Pre-request before visit,First pull,European Affairs policy core,3403,NATO-Enlargement; NATO-Relations with Russia; NATO-Strategic Concept,"European Affairs-Blinken, Antony",Part2,Late-period strategic concept and alliance policy.,"Read early in the visit and promote dated policy memoranda, options papers, or cleared staff records.","These files are most likely to contain document-level policy memoranda, working-group papers, staff notes, and cleared materials on NATO enlargement, NATO-Russia, ESDI, and the strategic concept.",,,,,,,,,
01.08,Pre-request before visit,First pull,European Affairs policy core,3403,"NATO-ESDI/NATO-E.U. Links; NATO/ESDI-Next Steps 2000; NATO-Atlantic Council Meeting, EU Security and Defense Policy Delegation","European Affairs-Blinken, Antony",Part2,Direct NATO-EU/ESDI coverage.,"Read early in the visit and promote dated policy memoranda, options papers, or cleared staff records.","These files are most likely to contain document-level policy memoranda, working-group papers, staff notes, and cleared materials on NATO enlargement, NATO-Russia, ESDI, and the strategic concept.",,,,,,,,,
02.01,Pre-request with first pull if staff limits allow,First pull if available,"Gap fillers for NAC, CFE, OSCE, Partnership for Peace, and legal authority",1404,"Former Yugoslavia-NAC (North Atlantic Council), August 1993","Staff Director-Soderberg, Nancy",Part4,NAC coverage for institutional NATO decision-making.,"Close undercovered NAC, CFE, OSCE, PfP, legal-authority, or NATO institutional gap with document-level records.",The current public corpus undercovers CFE and NAC/USNATO-style institutional records. These folders directly target those gaps.,,,,,,,,,
02.02,Pre-request with first pull if staff limits allow,First pull if available,"Gap fillers for NAC, CFE, OSCE, Partnership for Peace, and legal authority",1416,CSCE [Conference on Security and Cooperation in Europe],"Staff Director-Soderberg, Nancy",Part4,OSCE/CSCE architecture file.,"Close undercovered NAC, CFE, OSCE, PfP, legal-authority, or NATO institutional gap with document-level records.",The current public corpus undercovers CFE and NAC/USNATO-style institutional records. These folders directly target those gaps.,,,,,,,,,
02.03,Pre-request with first pull if staff limits allow,First pull if available,"Gap fillers for NAC, CFE, OSCE, Partnership for Peace, and legal authority",1417,NATO Summit; Partnership for Peace,"Staff Director-Soderberg, Nancy",Part4,Senior NSC staff files for NATO summit and PfP.,"Close undercovered NAC, CFE, OSCE, PfP, legal-authority, or NATO institutional gap with document-level records.",The current public corpus undercovers CFE and NAC/USNATO-style institutional records. These folders directly target those gaps.,,,,,,,,,
02.04,Pre-request with first pull if staff limits allow,First pull if available,"Gap fillers for NAC, CFE, OSCE, Partnership for Peace, and legal authority",1732,CFE [Conventional Armed Forces in Europe],"Central and Eastern European Affairs-Flanagan, Stephen",Part1,Direct CFE gap filler.,"Close undercovered NAC, CFE, OSCE, PfP, legal-authority, or NATO institutional gap with document-level records.",The current public corpus undercovers CFE and NAC/USNATO-style institutional records. These folders directly target those gaps.,,,,,,,,,
02.05,Pre-request with first pull if staff limits allow,First pull if available,"Gap fillers for NAC, CFE, OSCE, Partnership for Peace, and legal authority",1732,NATO+ Strategy; NATO+ IWG; Open Door/MAP; 1999 NATO Summit,"Central and Eastern European Affairs-Flanagan, Stephen",Part1,Second-tranche/open-door enlargement work.,"Close undercovered NAC, CFE, OSCE, PfP, legal-authority, or NATO institutional gap with document-level records.",The current public corpus undercovers CFE and NAC/USNATO-style institutional records. These folders directly target those gaps.,,,,,,,,,
02.06,Pre-request with first pull if staff limits allow,First pull if available,"Gap fillers for NAC, CFE, OSCE, Partnership for Peace, and legal authority",3110,OSCE [Organization for Security and Cooperation in Europe],"Legal Advisor-Krass, Caroline",Part2,Legal/policy angle on OSCE architecture.,"Close undercovered NAC, CFE, OSCE, PfP, legal-authority, or NATO institutional gap with document-level records.",The current public corpus undercovers CFE and NAC/USNATO-style institutional records. These folders directly target those gaps.,,,,,,,,,
02.07,Pre-request with first pull if staff limits allow,First pull if available,"Gap fillers for NAC, CFE, OSCE, Partnership for Peace, and legal authority",3115,CFE [Conventional Forces Europe],"Legal Advisor-Krass, Caroline",Part2,Legal CFE coverage.,"Close undercovered NAC, CFE, OSCE, PfP, legal-authority, or NATO institutional gap with document-level records.",The current public corpus undercovers CFE and NAC/USNATO-style institutional records. These folders directly target those gaps.,,,,,,,,,
02.08,Pre-request with first pull if staff limits allow,First pull if available,"Gap fillers for NAC, CFE, OSCE, Partnership for Peace, and legal authority",3390,CFE (Conventional Forces in Europe),"Legal Advisor-Derosa, Mary",Part2,Second legal CFE file.,"Close undercovered NAC, CFE, OSCE, PfP, legal-authority, or NATO institutional gap with document-level records.",The current public corpus undercovers CFE and NAC/USNATO-style institutional records. These folders directly target those gaps.,,,,,,,,,
02.09,Pre-request with first pull if staff limits allow,First pull if available,"Gap fillers for NAC, CFE, OSCE, Partnership for Peace, and legal authority",3410,ICTY-Kosovo; ICTY-NATO Operations,"Legal Advisor-Derosa, Mary",Part2,Legal authority and operations link for Kosovo/NATO.,"Close undercovered NAC, CFE, OSCE, PfP, legal-authority, or NATO institutional gap with document-level records.",The current public corpus undercovers CFE and NAC/USNATO-style institutional records. These folders directly target those gaps.,,,,,,,,,
03.01,Request after policy-core review,Second pull,"Trip books, Executive Secretary files, and PC/DC chronology",2409,"Davies Trip Prep Book-POTUS Travel to Paris, The Hague, London for NATO/Russia Summit & US/EU Summit, May 1997","Executive Secretary-Davies, Glyn",Part2,NATO-Russia Founding Act and US/EU summit travel package.,"Use for chronology, briefing-book provenance, meeting sequence, and same-day source-control checks.","These files should anchor date placement, summit sequence, briefing-book provenance, and decision-meeting context.",,,,,,,,,
03.02,Request after policy-core review,Second pull,"Trip books, Executive Secretary files, and PC/DC chronology",2409,"Davies Trip Prep Book-POTUS Travel to Europe for NATO Summit, July 1997","Executive Secretary-Davies, Glyn",Part2,Madrid summit preparation.,"Use for chronology, briefing-book provenance, meeting sequence, and same-day source-control checks.","These files should anchor date placement, summit sequence, briefing-book provenance, and decision-meeting context.",,,,,,,,,
03.03,Request after policy-core review,Second pull,"Trip books, Executive Secretary files, and PC/DC chronology",2589,"POTUS Visit to Paris, The Hague, London for NATO/Russia Summit, US/EU Summit, Meeting with Prime Minister Blair, May 26-29, 1997",Executive Secretary,Part2,Presidential briefing book for NATO-Russia/US-EU sequence.,"Use for chronology, briefing-book provenance, meeting sequence, and same-day source-control checks.","These files should anchor date placement, summit sequence, briefing-book provenance, and decision-meeting context.",,,,,,,,,
03.04,Request after policy-core review,Second pull,"Trip books, Executive Secretary files, and PC/DC chronology",2589,"POTUS Trip to Madrid, Spain for the NATO Summit, July 7-10, 1997",Executive Secretary,Part2,Presidential Madrid NATO Summit briefing book.,"Use for chronology, briefing-book provenance, meeting sequence, and same-day source-control checks.","These files should anchor date placement, summit sequence, briefing-book provenance, and decision-meeting context.",,,,,,,,,
03.05,Request after policy-core review,Second pull,"Trip books, Executive Secretary files, and PC/DC chronology",2590,"POTUS Participation in NATO Summit, Washington, D.C., April 23-25, 1999",Executive Secretary,Part2,Washington 50th anniversary summit briefing book.,"Use for chronology, briefing-book provenance, meeting sequence, and same-day source-control checks.","These files should anchor date placement, summit sequence, briefing-book provenance, and decision-meeting context.",,,,,,,,,
03.06,Request after policy-core review,Second pull,"Trip books, Executive Secretary files, and PC/DC chronology",1949,"Trip Books-NATO Summit, 1999","Executive Secretary-Elkon, Nicole",Part2,NATO summit trip book cross-check.,"Use for chronology, briefing-book provenance, meeting sequence, and same-day source-control checks.","These files should anchor date placement, summit sequence, briefing-book provenance, and decision-meeting context.",,,,,,,,,
03.07,Request after policy-core review,Second pull,"Trip books, Executive Secretary files, and PC/DC chronology",1968-1970,"PC/DC Meeting Files, October 1998-May 1999","Executive Secretary-Bartlett, June",Part2,Kosovo/NATO air campaign decision chronology.,"Use for chronology, briefing-book provenance, meeting sequence, and same-day source-control checks.","These files should anchor date placement, summit sequence, briefing-book provenance, and decision-meeting context.",,,,,,,,,
03.08,Request after policy-core review,Second pull,"Trip books, Executive Secretary files, and PC/DC chronology","2227, 2414, 2419","DC/PC Meeting Files, June 1999-February 2000","Executive Secretary-Bradtke, Robert",Part2,Postwar Kosovo and late-period NATO follow-up chronology.,"Use for chronology, briefing-book provenance, meeting sequence, and same-day source-control checks.","These files should anchor date placement, summit sequence, briefing-book provenance, and decision-meeting context.",,,,,,,,,
04.01,Request selectively after gap review,Third pull,Crisis files to convert broad leads into document-level records,1394,"Soderberg Notes from Bosnia PC/DC Meetings, 1993-1996","Staff Director-Soderberg, Nancy",Part4,Meeting-note spine for Bosnia decisions.,Extract only document-level crisis records that add decision evidence or institutional NATO coverage.,"The public corpus already has heavy Bosnia/Kosovo representation; these folders should be used selectively to extract decision documents, not to widen the imbalance.",,,,,,,,,
04.02,Request selectively after gap review,Third pull,Crisis files to convert broad leads into document-level records,1710,NATO Reports; Kosovo Executive Committee Plans/Play of Day/Daily Digest; PC/DC/EXCOMM,"Bosnia-Hurley, Michael",Part1,High-yield Bosnia/Kosovo decision files.,Extract only document-level crisis records that add decision evidence or institutional NATO coverage.,"The public corpus already has heavy Bosnia/Kosovo representation; these folders should be used selectively to extract decision documents, not to widen the imbalance.",,,,,,,,,
04.03,Request selectively after gap review,Third pull,Crisis files to convert broad leads into document-level records,1713,NAC [North Atlantic Council],"Bosnia-Hurley, Michael",Part1,Institutional NATO angle within crisis files.,Extract only document-level crisis records that add decision evidence or institutional NATO coverage.,"The public corpus already has heavy Bosnia/Kosovo representation; these folders should be used selectively to extract decision documents, not to widen the imbalance.",,,,,,,,,
