category,id,label,minimum_records,direct_document_minimum,maximum_records,total_records,document_records,conversation_records,release_packets,context_records,scout_leads,source_leads,include_candidates,context_candidates,pending_selection,needs_source,needs_chronology,needs_declass,crisis_lane,non_crisis_lane,status,first_date,last_date,years_covered,chapter_mix,type_mix,top_sources,next_action,sample_records,search_pattern
Institution,usnato_nac,"USNATO, NAC, and North Atlantic Council traffic",25,10,,10,3,3,0,1,0,6,8,1,1,0,3,0,6,4,gap,1994-04-20,2000-06-08,1994; 1997; 1998; 1999; 2000,Crisis Security Files: 6; NATO-Russia and Partnership: 3; NATO Strategy and Enlargement: 1,Source Lead: 6; Memcon: 2; Context: 1; Telcon: 1,"Department of State, FOIA Virtual Reading Room: 5; William J. Clinton Presidential Library & Museum: 3; Department of State FOIA Virtual Reading Room: 1; National Archives and Records Administration, National Archives Catalog: 1","Run targeted USNATO, North Atlantic Council, S/S-S, EUR/RPM, NATO Mission, and cable-traffic searches.",1994-04-20 Telcon: Memorandum of Telephone Conversation - Prime Minister Jean Chretien of Canada | 1999-03-15 Memcon: Memorandum of Conversation with Secretary General Javier Solana of NATO | 1999-04-22 Memcon: Memorandum of Conversation with NATO Secretary General Javier Solana | 1997-01-01 Source Lead: On Course for Madrid | 1997-01-01 Source Lead: ST notes on Kissinger piece,\bUSNATO\b|\bNAC\b|North Atlantic Council|NATO Mission
Treaty,cfe,CFE and conventional forces,20,8,,14,1,1,0,2,0,11,10,2,2,0,1,0,1,13,gap,1995-10-23,1999-11-19,1995; 1996; 1997; 1999,NATO-Russia and Partnership: 7; European Security Architecture: 5; Crisis Security Files: 1; NATO Strategy and Enlargement: 1,Source Lead: 11; Context: 2; Memcon: 1,"Department of State, FOIA Virtual Reading Room: 8; Department of State FOIA Virtual Reading Room: 3; National Archives and Records Administration, National Archives Catalog: 3","Search CFE Treaty, adapted CFE, Istanbul, arms-control, and EUR/RPM files before relying on the architecture lane.",1995-10-23 Memcon: Memorandum of Conversation - Clinton-Yeltsin One-on-One at Hyde Park | 1996-06-10 Source Lead: The CFE Review Conference: A Retrospective w/Attachment(s) | 1997-01-01 Source Lead: DRAFT LETTER FROM THE SECRETARY TO CENTRAL EUROPEAN COUNTERPARTS w/Attached Facsimile Transmission | 1997-01-01 Source Lead: Additional Elements on CFE for NATO-Russia Document w/Attachment(s) | 1997-01-01 Source Lead: Precis of Russian-CFE Counter-Proposal,\bCFE\b|Conventional Armed Forces|Conventional Forces
Ally,germany,Germany,25,10,,72,7,7,0,3,57,5,9,31,32,51,7,0,56,16,direct-document gap,1993-01-01,2000-07-31,1993; 1994; 1995; 1996; 1997; 1998; 1999; 2000,Crisis Security Files: 56; European Security Architecture: 7; NATO-Russia and Partnership: 6; NATO Strategy and Enlargement: 3,Scout Lead: 57; Source Lead: 5; Telcon: 4; Context: 3,"National Archives Catalog: 57; Department of State FOIA Virtual Reading Room: 5; William J. Clinton Presidential Library & Museum: 5; National Archives and Records Administration, National Archives Catalog: 2",Use German leader contacts and NATO policy files to test enlargement and NATO-Russia decision context.,1995-07-13 Telcon: Memorandum of Telephone Conversation - Chancellor Helmut Kohl of Germany | 1996-07-27 Memcon: Memorandum of Conversation - President Jacques Chirac of France | 1997-03-05 Telcon: Museum of Telephone Conversation - Chancellor Helmut Kohl of Germany | 1997-10-21 Telcon: Museum of Telephone Conversation - Chancellor Helmut Kohl of Germany | 1998-05-06 Memcon: Memorandum of Conversation - Prime Minister Romano Prodi of Italy,\bGermany\b|\bGerman\b|Kohl|Schroeder|Schröder|Genscher|Kinkel
Ally,united_kingdom,United Kingdom,20,8,,72,4,4,0,1,65,2,4,31,37,55,4,0,60,12,direct-document gap,1993-01-01,1999-04-22,1993; 1994; 1995; 1996; 1998; 1999,Crisis Security Files: 60; European Security Architecture: 6; NATO-Russia and Partnership: 5; NATO Strategy and Enlargement: 1,Scout Lead: 65; Memcon: 3; Source Lead: 2; Context: 1,"National Archives Catalog: 65; William J. Clinton Presidential Library, Clinton Digital Library: 3; Department of State FOIA Virtual Reading Room: 2; Government Publishing Office, GovInfo: 1","Use UK contacts to balance enlargement, Bosnia/Kosovo, and alliance strategy decisions.","1995-04-04 Memcon: Memorandum of Conversation - Prime Minister John Major of the United Kingdom | 1995-06-16 Memcon: Memorandum of Conversation - Prime Minister John Major of the United Kingdom | 1995-07-19 Telcon: Memorandum of Telephone Conversation - Prime Minister John Major of the United Kingdom | 1999-04-22 Memcon: Memorandum of Conversation with NATO Secretary General Javier Solana | 1998-05-18 Context: The President's News Conference With European Union Leaders in London, United Kingdom",\bUnited Kingdom\b|\bBritain\b|\bBritish\b|Major|Blair|Hurd|Straw
Institution,osce_csce,OSCE and CSCE,35,12,,103,2,1,1,3,88,10,3,31,69,70,1,0,87,16,direct-document gap,1993-01-01,1999-11-19,1993; 1994; 1995; 1996; 1997; 1998; 1999,Crisis Security Files: 87; European Security Architecture: 11; NATO-Russia and Partnership: 5,Scout Lead: 88; Source Lead: 10; Context: 3; Memcon: 1,"National Archives Catalog: 88; Department of State FOIA Virtual Reading Room: 10; National Archives and Records Administration, National Archives Catalog: 3; Department of State, FOIA Virtual Reading Room: 1",Run an OSCE/CSCE architecture pass and distinguish summit decision records from crisis references.,"1995-12-03 Memcon: Memorandum of Conversation with Spanish Prime Minister Felipe Gonzalez | 1994-12-12 Release Packet: Letter From Strobe Talbott to Yuri | 1996-06-10 Source Lead: BILATERAL PRESIDENTIAL MEETING AT LYON SUMMIT | 1998-02-15 Source Lead: February 15, 1998 Note From Strobe Talbott To Amb. Grossman | 1994-12-05 Context: Presidential Daily Diary reference: CSCE Budapest Summit and meetings with Yeltsin, Kohl, Croatian and Bosnian officials",\bOSCE\b|\bCSCE\b|Budapest Summit|Istanbul Summit
State,poland,Poland,18,8,,63,7,7,0,14,39,3,8,27,28,38,7,0,41,22,direct-document gap,1993-01-01,1998-12-21,1993; 1994; 1995; 1996; 1997; 1998,Crisis Security Files: 41; NATO Strategy and Enlargement: 12; European Security Architecture: 9; NATO-Russia and Partnership: 1,Scout Lead: 39; Context: 14; Memcon: 6; Source Lead: 3,"National Archives Catalog: 39; Government Publishing Office, GovInfo: 10; William J. Clinton Presidential Library & Museum: 7; National Archives and Records Administration, National Archives Catalog: 4",Verify accession-state representation with direct Polish leader contacts and enlargement policy files.,"1993-04-20 Memcon: Memorandum of Conversation - Meeting with President Vaclav Havel of the Czech Republic | 1993-04-21 Memcon: Memorandum of Conversation - Meeting with President Lech Walesa of Poland | 1994-01-12 Memcon: Memorandum of Conversation -President Lech Walesa of Poland, President Arpad Goencz of Hungary, President Michal Kovac of Slovakia, and President Vaclav Havel of the Czech Republic | 1994-10-22 Memcon: Memorandum of Conversation - President Lech Walesa of Poland | 1994-10-22 Memcon: Memorandum of Conversation - Prime Minister Waldemar Pawlak of Poland",\bPoland\b|\bPolish\b|Walesa|Kwasniewski|Kwaśniewski
Topic,enlargement,"NATO enlargement, Madrid, accession, and ratification",80,35,,118,21,19,2,42,44,11,22,59,37,40,19,0,57,61,direct-document gap,1993-01-01,2000-12-19,1993; 1994; 1995; 1996; 1997; 1998; 1999; 2000,Crisis Security Files: 57; NATO Strategy and Enlargement: 28; European Security Architecture: 25; NATO-Russia and Partnership: 8,Scout Lead: 44; Context: 42; Memcon: 15; Source Lead: 11,"National Archives Catalog: 44; Government Publishing Office, GovInfo: 31; William J. Clinton Presidential Library & Museum: 19; National Archives and Records Administration, National Archives Catalog: 11","Keep extracting direct Madrid, accession, Senate ratification, and new-member consultation records.","1993-04-20 Memcon: Memorandum of Conversation - Meeting with President Vaclav Havel of the Czech Republic | 1993-04-21 Memcon: Memorandum of Conversation - Meeting with President Lech Walesa of Poland | 1993-04-21 Memcon: Memorandum of Conversation - President Arpad Goncz of Hungary | 1994-01-11 Memcon: Memorandum of Conversation - President Vaclav Havel of the Czech Republic and Czech Leaders | 1994-01-12 Memcon: Memorandum of Conversation -President Lech Walesa of Poland, President Arpad Goencz of Hungary, President Michal Kovac of Slovakia, and President Vaclav Havel of the Czech Republic",\b(enlargement|expansion|Madrid|accession|ratification|Poland|Polish|Czech|Havel|Hungary|Hungarian)\b
Topic,pfp,Partnership for Peace and partnership policy,30,12,,50,6,6,0,1,43,0,5,15,30,39,6,0,47,3,direct-document gap,1993-01-01,1997-07-07,1993; 1994; 1995; 1996; 1997,Crisis Security Files: 47; NATO Strategy and Enlargement: 2; NATO-Russia and Partnership: 1,Scout Lead: 43; Memcon: 6; Context: 1,"National Archives Catalog: 43; William J. Clinton Presidential Library & Museum: 4; Clinton Digital Library item 101370, Memcons - Memoranda of Conversation: 1; National Archives and Records Administration, National Archives Catalog: 1",Chase policy memoranda and alliance consultations where PFP is the main subject rather than background.,1994-01-15 Memcon: Memorandum of Conversation - President Otto Stich of Switzerland | 1994-03-04 Memcon: Memorandum of Conversation - President Leonid Kravchuk of Ukraine | 1995-03-07 Memcon: Memorandum of Conversation - NATO Secretary General Willy Claes | 1996-02-20 Memcon: Memorandum of Conversation with NATO Secretary General Javier Solana | 1997-07-07 Memcon: Memorandum of Conversation with NATO Secretary General Solana,\bPartnership for Peace\b|\bPFP\b|partnership policy
Crisis Balance,bosnia_ifor_sfor,"Bosnia, Dayton, IFOR, and SFOR",40,20,160,391,118,51,67,33,238,2,48,133,210,123,51,0,391,0,overweight,1993-01-01,1999-04-06,1993; 1994; 1995; 1996; 1997; 1998; 1999,Crisis Security Files: 391,Scout Lead: 238; Release Packet: 67; Context: 33; Memcon: 30,"National Archives Catalog: 238; William J. Clinton Presidential Library, Clinton Digital Library: 82; Government Publishing Office, GovInfo: 20; William J. Clinton Presidential Library & Museum: 20",Split direct NATO decision records from implementation/context records so Bosnia does not crowd out the volume's architecture subjects.,1993-02-15 Telcon: Memorandum of Telephone Conversation - President Francois Mitterrand of France | 1993-02-23 Memcon: Memorandum of Conversation - Secretary General Boutros Boutros-Ghali of the United Nations | 1993-03-17 Telcon: Memorandum of Telephone Conversation - President Francois Mitterrand of France | 1993-04-14 Memcon: Memorandum of Conversation - Vice President Gore and President Alija Izetbegovic | 1993-04-20 Memcon: Memorandum of Conversation - Meeting with President Vaclav Havel of the Czech Republic,\bBosnia\b|Herzegovina|Dayton|\bIFOR\b|\bSFOR\b
Crisis Balance,kosovo_kfor,"Kosovo, KFOR, and NATO air campaign diplomacy",35,20,140,323,28,26,2,37,245,13,19,78,226,124,26,0,323,0,overweight,1993-01-01,2000-12-18,1993; 1994; 1995; 1996; 1997; 1998; 1999; 2000,Crisis Security Files: 323,Scout Lead: 245; Context: 37; Telcon: 16; Source Lead: 13,"National Archives Catalog: 245; Government Publishing Office, GovInfo: 27; William J. Clinton Presidential Library & Museum: 13; Department of State FOIA Virtual Reading Room: 11","Separate direct NATO decision records, public statements, and operational context before final selection.",1995-07-19 Telcon: Memorandum of Telephone Conversation - President Jacques Chirac of France | 1995-07-20 Telcon: Memorandum of Telephone Conversation - President Clinton and President Alija Izetbegovic | 1995-07-20 Telcon: Memorandum of Telephone Conversation - President Jacques Chirac of France | 1998-05-06 Memcon: Memorandum of Conversation - Prime Minister Romano Prodi of Italy | 1998-05-17 Memcon: Memorandum of Conversation - President Boris Yeltsin of Russia,\bKosovo\b|\bKosova\b|\bKFOR\b|air campaign|air strikes|Rambouillet
