date,washington_time,type,title,participants,countries,chapter,selection_decision,declassification,source_id,markings,source_pages,catalog_url,pdf_url,source_note,next_action
1993-02-15,,Telcon,Memorandum of Telephone Conversation - President Francois Mitterrand of France,Bill Clinton; Francois Mitterrand,United States; Russia; France; Bosnia and Herzegovina,Crisis Security Files,Include candidate,Pending review,"William J. Clinton Presidential Library, Clinton Digital Library; 2015-0774-M; 1-3",Confidential; Confidential,1-3,https://clinton.presidentiallibraries.us/items/show/101348,https://clinton.presidentiallibraries.us/files/original/b229ce8c14cc2ebdcee0053d85f5b044.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Telcons - Memoranda of Telephone Conversation, Release 2015-0774-M, Item 101348. Confidential.",Verify Washington time and final chronological placement against the source image or PDF.
1993-02-23,,Memcon,Memorandum of Conversation - Secretary General Boutros Boutros-Ghali of the United Nations,Bill Clinton,United States; Bosnia and Herzegovina,Crisis Security Files,Include candidate,Pending review,William J. Clinton Presidential Library; 118497,Confidential; Confidential,,https://clinton.presidentiallibraries.us/items/show/118497,https://clinton.presidentiallibraries.us/files/original/0e72cac1e38b09a246280ca0629b188f.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release 2016-0933-M, Item 118497. Confidential.",Verify Washington time and final chronological placement against the source image or PDF.
1993-02-27,,Release Packet,Ex-Yugoslavia Work Program,Bill Clinton,United States; Bosnia and Herzegovina,Crisis Security Files,Context candidate,Pending review,"William J. Clinton Presidential Library, Clinton Digital Library; 2010-0533-M; 2",Secret,2,https://clinton.presidentiallibraries.us/items/show/36614,https://clinton.presidentiallibraries.us/files/original/dca58d1ec9f1ee6508cb03fc7ae5c98f.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified Documents concerning Bosnia, Release 2010-0533-M, Item 36614. Secret.","Extract document-level items, actual dates, page spans, markings, and excision status from the packet."
1993-03-01,,Release Packet,"Summary of Conclusions, Deputies Committee Meeting on Bosnia",Bill Clinton,United States; Russia; Bosnia and Herzegovina,Crisis Security Files,Context candidate,Pending review,"William J. Clinton Presidential Library, Clinton Digital Library; 2010-0533-M; 3-4",Secret,3-4,https://clinton.presidentiallibraries.us/items/show/36614,https://clinton.presidentiallibraries.us/files/original/dca58d1ec9f1ee6508cb03fc7ae5c98f.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified Documents concerning Bosnia, Release 2010-0533-M, Item 36614. Secret.","Extract document-level items, actual dates, page spans, markings, and excision status from the packet."
1993-03-04,,Release Packet,"Summary of Conclusions, Deputies Committee Meeting on Bosnia",Bill Clinton,United States; Bosnia and Herzegovina,Crisis Security Files,Context candidate,Pending review,"William J. Clinton Presidential Library, Clinton Digital Library; 2010-0533-M; 5-6",Secret,5-6,https://clinton.presidentiallibraries.us/items/show/36614,https://clinton.presidentiallibraries.us/files/original/dca58d1ec9f1ee6508cb03fc7ae5c98f.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified Documents concerning Bosnia, Release 2010-0533-M, Item 36614. Secret.","Extract document-level items, actual dates, page spans, markings, and excision status from the packet."
1993-03-15,,Release Packet,Summary of Conclusions on Bosnia,Bill Clinton,United States; Bosnia and Herzegovina,Crisis Security Files,Context candidate,Pending review,"William J. Clinton Presidential Library, Clinton Digital Library; 2010-0533-M; 7-8",Secret,7-8,https://clinton.presidentiallibraries.us/items/show/36614,https://clinton.presidentiallibraries.us/files/original/dca58d1ec9f1ee6508cb03fc7ae5c98f.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified Documents concerning Bosnia, Release 2010-0533-M, Item 36614. Secret.","Extract document-level items, actual dates, page spans, markings, and excision status from the packet."
1993-03-17,,Telcon,Memorandum of Telephone Conversation - President Francois Mitterrand of France,Bill Clinton; Francois Mitterrand,United States; Russia; France; Bosnia and Herzegovina,Crisis Security Files,Include candidate,Pending review,William J. Clinton Presidential Library; 101349,Confidential; Confidential,,https://clinton.presidentiallibraries.us/items/show/101349,https://clinton.presidentiallibraries.us/files/original/334e9c83f263373d7d46131c52da4f6e.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Telcons - Memoranda of Telephone Conversations, Release 2015-0774-M, Item 101349. Confidential.",Verify Washington time and final chronological placement against the source image or PDF.
1993-03-24,,Context,Presidential Daily Diary reference: meeting with Russian Foreign Minister Andrey Kozyrev,Bill Clinton; Andrey Kozyrev; Warren Christopher; Strobe Talbott,United States; Russia,NATO-Russia and Partnership,Context candidate,Released with excisions,"National Archives and Records Administration, National Archives Catalog; LPWJC 2013-0549-F; 147870749; page 89",Unclassified diary record,page 89,https://catalog.archives.gov/id/147870749,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-001-005-2018.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Clinton Presidential Records, Presidential Daily Diary, Ellen McCathran Files, Release LPWJC 2013-0549-F, [03/15/1993-03/31/1993], NAID 147870749, Unclassified diary record.","Use as a chronology lead; chase the substantive memcon, telcon, briefing book, trip file, or summit file before selection."
1993-03-24,,Release Packet,Summary of Conclusions on Bosnia,Bill Clinton,United States; Bosnia and Herzegovina,Crisis Security Files,Context candidate,Pending review,"William J. Clinton Presidential Library, Clinton Digital Library; 2010-0533-M; 9",Secret,9,https://clinton.presidentiallibraries.us/items/show/36614,https://clinton.presidentiallibraries.us/files/original/dca58d1ec9f1ee6508cb03fc7ae5c98f.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified Documents concerning Bosnia, Release 2010-0533-M, Item 36614. Secret.","Extract document-level items, actual dates, page spans, markings, and excision status from the packet."
1993-03-30,,Release Packet,Summary of Conclusions on Bosnia,Bill Clinton,United States; Bosnia and Herzegovina,Crisis Security Files,Context candidate,Pending review,"William J. Clinton Presidential Library, Clinton Digital Library; 2010-0533-M; 10-11",Secret,10-11,https://clinton.presidentiallibraries.us/items/show/36614,https://clinton.presidentiallibraries.us/files/original/dca58d1ec9f1ee6508cb03fc7ae5c98f.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified Documents concerning Bosnia, Release 2010-0533-M, Item 36614. Secret.","Extract document-level items, actual dates, page spans, markings, and excision status from the packet."
1993-04-03,,Memcon,Working Dinner with President Boris Yeltsin,Bill Clinton; Boris Yeltsin; Warren Christopher; Lloyd Bentsen; Anthony Lake; Andrei Kozyrev; Boris Fedorov; Alexander Shokhin,United States; Russia; Bosnia and Herzegovina,Crisis Security Files,Context candidate,Released in full,"National Archives and Records Administration, National Archives Catalog, Memcons between President William Jefferson Clinton and President Boris Yeltsin; 2014-0901-M; 163545404; 9-17",Secret; Secret,9-17,https://catalog.archives.gov/id/163545404,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/6-YeltsinVancouver.pdf,"Source: National Archives Catalog item 163545404, Clinton Library case 2014-0901-M, NSC Records Management PRS Files, Document ID 9302226. Derivative PDF extracts source pages 9-17 and appends source marker page 2 as provenance sheet. Secret.",Verify Washington time and final chronological placement against the source image or PDF.
1993-04-04,,Memcon,Meeting with Russian President Boris Yeltsin on Security Issues,Bill Clinton; Boris Yeltsin; Warren Christopher; Lloyd Bentsen; Anthony Lake; Andrei Kozyrev; Boris Fedorov; Alexander Shokhin,United States; Russia; Bosnia and Herzegovina; Ukraine,Crisis Security Files,Context candidate,Released in full,"National Archives and Records Administration, National Archives Catalog, Memcons between President William Jefferson Clinton and President Boris Yeltsin; 2014-0901-M; 163545404; 19-30",Secret; Secret,19-30,https://catalog.archives.gov/id/163545404,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585721/6-YeltsinVancouver.pdf,"Source: National Archives Catalog item 163545404, Clinton Library case 2014-0901-M, NSC Records Management PRS Files, Document ID 9302226. Derivative PDF extracts source pages 19-30 and appends source marker page 2 as provenance sheet. Secret.",Verify Washington time and final chronological placement against the source image or PDF.
