rank,category,priority_score,date,type,title,chapter,selection_decision,production_issues,coverage_signals,next_action,catalog_url,pdf_url,source_note
1,Rebalance Coverage,127,1996-05-08,Source Lead,PAPER FOR MAMEDOV ON CFE,NATO-Russia and Partnership,Pending,selection,CFE gap; NATO-Russia thread; non-crisis lane,"Read released PDF, decide include/context/exclude, and extract source note fields.",https://foia.state.gov/DOCUMENTS/FOIA_L_June2024/FL-2017-13804/DOC_0C09000044/C09000044.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_June2024/FL-2017-13804/DOC_0C09000044/C09000044.pdf,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Document C09000044. Nodis."
2,Chase Diary Leads,119,1999-11-19,Context,Presidential Daily Diary reference: CFE Treaty signing at Istanbul,European Security Architecture,Context candidate,,CFE gap; OSCE/CSCE architecture; late-volume coverage; non-crisis lane,"Chase substantive memcon, telcon, briefing book, trip file, or summit file.",https://catalog.archives.gov/id/147870987,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-012-005-2018.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Clinton Presidential Records, Presidential Daily Diary, Ellen McCathran Files, Release LPWJC 2013-0549-F, [11/10/1999-11/19/1999], NAID 147870987, Unclassified diary record. Source pages: pages 72 and 79."
3,Rebalance Coverage,105,1997-05-19,Source Lead,"May 19, 1997 Letter From Boris Yeltsin To William J. Clinton",NATO-Russia and Partnership,Include candidate,,NATO-Russia thread; late-volume coverage; non-crisis lane,"Read released PDF, decide include/context/exclude, and extract source note fields.",https://foia.state.gov/DOCUMENTS/FOIA_L_Feb2024/FL-2017-13804/DOC_0C09000076/C09000076.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Feb2024/FL-2017-13804/DOC_0C09000076/C09000076.pdf,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Document C09000076. Unclassified."
4,Rebalance Coverage,105,1997-07-01,Source Lead,"July 1, 1997 Letter From Strobe Talbott To Livia Sylva w/Attachment(s)",European Security Architecture,Include candidate,,Madrid/accession thread; late-volume coverage; non-crisis lane,"Read released PDF, decide include/context/exclude, and extract source note fields.",https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2024/FL-2017-13804/DOC_0C09000041/C09000041.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Jan2024/FL-2017-13804/DOC_0C09000041/C09000041.pdf,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Document C09000041. Unclassified."
5,Rebalance Coverage,105,1997-07-22,Source Lead,"July 22, 1997 Letter From Strobe Talbott To H.E. G. E. Mamedov",NATO-Russia and Partnership,Include candidate,,NATO-Russia thread; late-volume coverage; non-crisis lane,"Read released PDF, decide include/context/exclude, and extract source note fields.",https://foia.state.gov/DOCUMENTS/FOIA_L_Apr2024/FL-2017-13804/DOC_0C09000061/C09000061.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Apr2024/FL-2017-13804/DOC_0C09000061/C09000061.pdf,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Document C09000061. Secret."
6,Rebalance Coverage,105,1997-07-27,Source Lead,"Your Meeting with Russian Foreign Minister Primakov, July 27, 1997, Kuala Lumpur w/Attachment(s)",NATO-Russia and Partnership,Include candidate,,NATO-Russia thread; late-volume coverage; non-crisis lane,"Read released PDF, decide include/context/exclude, and extract source note fields.",https://foia.state.gov/DOCUMENTS/FOIA_L_Oct2024/FL-2017-13804/DOC_0C09000039/C09000039.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Oct2024/FL-2017-13804/DOC_0C09000039/C09000039.pdf,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Document C09000039. Secret; Nodis."
7,Rebalance Coverage,105,1997-11-18,Source Lead,Non-Iraq Contingency Points for Possible Bilateral Meeting with Russian Foreign Minister Yevgeniy Primakov w/Attachment(s),NATO-Russia and Partnership,Include candidate,,NATO-Russia thread; late-volume coverage; non-crisis lane,"Read released PDF, decide include/context/exclude, and extract source note fields.",https://foia.state.gov/DOCUMENTS/FOIA_L_Oct2024/FL-2017-13804/DOC_0C09000012/C09000012.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Oct2024/FL-2017-13804/DOC_0C09000012/C09000012.pdf,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Document C09000012. Unclassified; Nodis."
8,Rebalance Coverage,105,1997-12-02,Source Lead,"CHANCELLOR KOHL'S MEETING WITH PRESIDENT YELTSIN, NOVEMBER 30",NATO-Russia and Partnership,Include candidate,,NATO-Russia thread; late-volume coverage; non-crisis lane,"Read released PDF, decide include/context/exclude, and extract source note fields.",https://foia.state.gov/DOCUMENTS/FOIA_L_Oct2024/FL-2017-13804/DOC_0C09000005/C09000005.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Oct2024/FL-2017-13804/DOC_0C09000005/C09000005.pdf,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Document C09000005. Unclassified."
9,Rebalance Coverage,105,1998-06-02,Source Lead,Transmittal Memorandum of Telephone Conversation with Russian President Boris Yeltsin w/Attachment(s),NATO-Russia and Partnership,Include candidate,,NATO-Russia thread; late-volume coverage; non-crisis lane,"Read released PDF, decide include/context/exclude, and extract source note fields.",https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2025/FL-2017-13804/DOC_0C09000028/C09000028.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2025/FL-2017-13804/DOC_0C09000028/C09000028.pdf,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Document C09000028. Confidential; Nodis."
10,Rebalance Coverage,103,1993-01-01,Scout Lead,"DC 0145 DC Meeting Regarding Conference on Security and Cooperation in Europe/CSCE/Summit in Budapest, 5 December 199",European Security Architecture,Pending,selection,OSCE/CSCE architecture; non-crisis lane,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/147873393,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2014/2014-0846-F/42-t-7585724-20140846F-003-001-2019.pdf,"Source: National Archives and Records Administration, National Archives Catalog, DC 0145 DC Meeting Regarding Conference on Security and Cooperation in Europe/CSCE/Summit in Budapest, 5 December 199, NAID 147873393."
