triage_order,record_id,promotion_lane,direct_gap_credit,recommended_decision,date,date_status,type,title,chapter,classification,source_pages,page_count,source_ready,evidence_summary,blocking_issue,next_compiler_action,source_note,pdf_url
1,strobe-hardgap-july2024-C09000039,Promote first,CFE direct; NATO-Russia drafting,Include candidate,1997-01-01,date pending,Source Lead,Additional Elements on CFE for NATO-Russia Document w/Attachment(s),NATO-Russia and Partnership,Unclassified,PDF pages 1-4,4,Source note; Marking; Page count,Additional CFE elements for the NATO-Russia document; useful for tracing adapted-CFE language in the Founding Act track.,Verify actual document date and attachment structure before final chronology.,Promote as a document-level CFE/NATO-Russia drafting record; capture author/date from the PDF image.,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Release July 2024, Document C09000039. Unclassified.",https://foia.state.gov/DOCUMENTS/FOIA_L_July2024/FL-2017-13804/DOC_0C09000039/C09000039.pdf
2,strobe-hardgap-july2024-C09000043,Promote first,CFE direct; Russian counter-proposal,Include candidate,1997-01-01,date pending,Source Lead,Precis of Russian-CFE Counter-Proposal,NATO-Russia and Partnership,Unclassified,PDF pages 1-2,2,Source note; Marking; Page count,Precis of Russian counter-proposal for adapting CFE; directly addresses CFE negotiation substance.,"Verify date, author, and whether the precis is an attachment or standalone paper.",Promote as a priority CFE adaptation lead; connect to NATO-Russia framework drafting.,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Release July 2024, Document C09000043. Unclassified.",https://foia.state.gov/DOCUMENTS/FOIA_L_July2024/FL-2017-13804/DOC_0C09000043/C09000043.pdf
3,strobe-hardgap-oct2024-C09000035,Promote first,CFE direct; Secretary-level retrospective,Include candidate,1996-06-10,date verified from record,Source Lead,The CFE Review Conference: A Retrospective w/Attachment(s),European Security Architecture,Confidential,PDF pages 1-7,7,Source note; Marking; Page count,Confidential memorandum on the CFE Review Conference with attachments and retrospective negotiation analysis.,Confirm whether the attachment or covering memo is the selectable document.,Promote the strongest dated CFE retrospective/summary item and preserve attachment accounting.,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Release October 2024, Document C09000035. Confidential.",https://foia.state.gov/DOCUMENTS/FOIA_L_Oct2024/FL-2017-13804/DOC_0C09000035/C09000035.pdf
4,strobe-hardgap-feb2024-C09000026,Promote first,CFE direct; Kyiv/Ukraine cable,Include candidate,1997-04-09,date verified from record,Source Lead,CFE TREATY,European Security Architecture,Unclassified,PDF pages 1-2,2,Source note; Marking; Page count,"Telegram subject is CFE Treaty, with CFE/TAGS and Ukraine-Russia troop-presence implications.","Extract cable metadata, addressees, and full date line.",Promote as CFE Treaty direct evidence if the full cable confirms policy discussion rather than only reporting.,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Release February 2024, Document C09000026. Unclassified.",https://foia.state.gov/DOCUMENTS/FOIA_L_Feb2024/FL-2017-13804/DOC_0C09000026/C09000026.pdf
5,strobe-hardgap-july2022-C09000060,Promote first,NAC/USNATO direct; NATO-Russia,Include candidate,1998-09-28,date verified from record,Source Lead,"DEPUTY SECRETARY TALBOTT BRIEFING TOTHE NAC ON MOSCOW SUMMIT, THE WAY AHEAD WITH RUSIA",NATO-Russia and Partnership,Unclassified,PDF pages 1-8,8,Source note; Marking; Page count,"USNATO cable records Talbott briefing the NAC after the Moscow summit and discusses Russia, Kosovo, Latvia, CFE, and NATO-Russia partnership.","Extract cable number, release-in-part excisions, MRN, addressees, and date-time line.",Promote as direct NAC/USNATO evidence; use in the NATO-Russia institutional lane.,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Release July 2022, Document C09000060. Unclassified.",https://foia.state.gov/DOCUMENTS/FOIA_L_July2022/FL-2017-13804/DOC_0C09000060/C09000060.pdf
6,strobe-hardgap-july2022-C09000063,Promote first,NAC/USNATO direct; Moscow summit,Include candidate,2000-06-08,date verified from record,Source Lead,DEPUTY SECRETARY BRIEFS THE NAC ON MOSCOW SUMMIT,NATO-Russia and Partnership,Unclassified,PDF pages 1-8,8,Source note; Marking; Page count,"USNATO 1314/EXDIS cable records Talbott briefing the NAC on the Moscow summit, ABM/NMD, NATO-Russia, and CFE.",Record EXDIS/release-in-part details and declassification accounting.,Promote as direct NAC/USNATO evidence; pair with Moscow summit memcons and strategic-stability files.,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Release July 2022, Document C09000063. Unclassified.",https://foia.state.gov/DOCUMENTS/FOIA_L_July2022/FL-2017-13804/DOC_0C09000063/C09000063.pdf
7,strobe-hardgap-june2024-C09000017,Promote first,NAC direct; Kosovo/Russia,Include candidate,1999-04-29,date verified from record,Source Lead,NAC INTERVENTION 4/29/99,Crisis Security Files,Unclassified,PDF pages 1-6,6,Source note; Marking; Page count,"NAC intervention dated April 29, 1999, during Kosovo campaign diplomacy and Russia consultations.","Verify whether the intervention was delivered text, talking points, or meeting note.",Promote if delivered to/for NAC; otherwise retain as high-value Kosovo/NAC annotation support.,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Release June 2024, Document C09000017. Unclassified.",https://foia.state.gov/DOCUMENTS/FOIA_L_June2024/FL-2017-13804/DOC_0C09000017/C09000017.pdf
8,strobe-hardgap-mar2023-C09000060,Promote after date/source check,CFE support; enlargement diplomacy,Include candidate,1997-01-01,date pending,Source Lead,DRAFT LETTER FROM THE SECRETARY TO CENTRAL EUROPEAN COUNTERPARTS w/Attached Facsimile Transmission,NATO Strategy and Enlargement,Unclassified,PDF pages 1-4,4,Source note; Marking; Page count,"Draft Secretary letter to Central European counterparts links CFE modernization, NATO-Russia document, and Madrid enlargement diplomacy.","Verify addressees, draft status, and actual date from source image.",Promote after confirming whether the draft was sent or should be cited as a draft policy text.,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Release March 2023, Document C09000060. Unclassified.",https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2023/FL-2017-13804/DOC_0C09000060/C09000060.pdf
9,strobe-hardgap-july2024-C09000044,Promote after date/source check,CFE support; Mamedov/GEM checklist,Include candidate,1997-04-10,date verified from record,Source Lead,Checklist For GEM 4/10/97,NATO-Russia and Partnership,Unclassified,PDF pages 1-2,2,Source note; Marking; Page count,"Checklist notes need for Russian CFE counter-proposal before the April 10, 1997 GEM contact.","Determine author, meeting context, and whether notes are selectable or annotation support.",Use as a CFE/Mamedov chronology lead; promote only if source context is clear.,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Release July 2024, Document C09000044. Unclassified.",https://foia.state.gov/DOCUMENTS/FOIA_L_July2024/FL-2017-13804/DOC_0C09000044/C09000044.pdf
10,strobe-hardgap-apr2023-C09000073,Promote after date/source check,CFE support; Christopher/Yeltsin prep,Include candidate,1997-01-01,date pending,Source Lead,Note from Strobe to Chris,European Security Architecture,Unclassified,PDF pages 1-6,6,Source note; Marking; Page count,Talbott note to Christopher flags CFE and ABM/TMD before Yeltsin/Primakov-related preparations.,"Verify actual date, addressee, and placement in the Christopher/Yeltsin briefing sequence.",Promote if the note frames CFE policy for Secretary-level discussion; otherwise use as annotation support.,"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Release April 2023, Document C09000073. Unclassified.",https://foia.state.gov/DOCUMENTS/FOIA_L_Apr2023/FL-2017-13804/DOC_0C09000073/C09000073.pdf
