chase_order,priority,event_type,date,diary_reference,source_pages,naid,release,catalog_title,participants,countries,topics,summary,compiler_use,chase_target,source_control,search_terms_hit,catalog_url,pdf_url,pdf_filename,substantive_record_found,memcon_telcon_or_trip_file,source_note_verified,final_selection_decision,compiler_notes
01,Medium-high,Meeting lead,1993-03-24,Presidential Daily Diary reference: meeting with Russian Foreign Minister Andrey Kozyrev,page 89,147870749,LPWJC 2013-0549-F,[03/15/1993-03/31/1993],Bill Clinton; Andrey Kozyrev; Warren Christopher; Strobe Talbott,United States; Russia,NATO-Russia; European Security Architecture,"The diary records a White House meeting with Russian Foreign Minister Andrey Kozyrev, joined by Gore, Christopher, Talbott, Lake, Gati, Lukin, and interpreters.",Use as an early Clinton-era Russia/European security chronology anchor and to chase any substantive memcon.,"Chase substantive memcon, briefing book, source image, and NSC follow-up files.","Broader PDD release; verify page image, date range, and OCR hit before citing.",Bosnia; Kozyrev; Russia; Russian,https://catalog.archives.gov/id/147870749,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-001-005-2018.pdf,42-t-101784486-20130549F-001-005-2018.pdf,,,,,
02,Medium-high,Meeting lead,1993-09-29,Presidential Daily Diary reference: meeting with Russian Foreign Minister Andrey Kozyrev,page 90,147870769,LPWJC 2013-0549-F,[09/16/1993-09/30/1993],Bill Clinton; Andrey Kozyrev,United States; Russia,NATO-Russia; European Security Architecture,The diary records an afternoon White House meeting with Russian Foreign Minister Andrey Kozyrev.,Use to flag a likely source trail for Russia policy immediately before the October 1993 NATO contact.,"Chase substantive memcon, briefing book, source image, and NSC follow-up files.","Broader PDD release; verify page image, date range, and OCR hit before citing.",Kozyrev; Russia; Russian,https://catalog.archives.gov/id/147870769,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-002-007-2018.pdf,42-t-101784486-20130549F-002-007-2018.pdf,,,,,
03,High,Meeting lead,1993-10-06,Presidential Daily Diary reference: meeting with NATO Secretary General Manfred Woerner,page 5,17368174,LPWJC 2010-0083-F,[Ellen McCathran - Presidential Daily Diary - Hardcopy 10/6/93; 10/11/93; 10/18/93; 10/26/93; 11/6/93; 11/17/93; 11/18/93; 11/30/93],Bill Clinton; Manfred Woerner,United States,NATO Strategy; NATO enlargement,The diary records a late-morning Oval Office meeting with NATO Secretary General Manfred Woerner.,"High-priority NATO lead; chase memcon, briefing book, and NSC European Affairs prep/follow-up files.","Chase briefing papers, decision memoranda, staff notes, and meeting readouts.",User-supplied 2010-0083-F release; verify diary page image and any withdrawal sheets before citing.,2010-0083-F; NATO,https://catalog.archives.gov/id/17368174,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/74/3681/17368174/content/presidential-libraries/clinton/foia/2010-0083-F/2010-0083-F-PDF/Box_001/42-t-7262157-20100083F-001-005-2015.pdf,42-t-7262157-20100083F-001-005-2015.pdf,,,,,
04,Medium-high,Summit or trip lead,1994-01-03,Presidential Daily Diary reference: NATO Summit preparation meetings,pages 18 and 21,147870783,LPWJC 2013-0549-F,[01/01/1994-01/15/1994],Bill Clinton; Strobe Talbott; Anthony Lake; Samuel Berger,United States,NATO Strategy; NATO enlargement; Partnership for Peace,"The diary records morning and afternoon meetings to prepare for the NATO Summit in Europe, including a Joint Chiefs of Staff session and an administration-policy session.",Use to structure the January 1994 NATO summit lead-up and target NSC/JCS preparatory material.,"Chase summit memcons, trip book tabs, briefing materials, and delegation follow-up files.","Broader PDD release; verify page image, date range, and OCR hit before citing.",2010-0083-F; Brussels; NATO; Prague; Russia; Russian; Yeltsin,https://catalog.archives.gov/id/147870783,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-003-006-2018.pdf,42-t-101784486-20130549F-003-006-2018.pdf,,,,,
05,Medium-high,Treaty or public-action lead,1994-01-14,Presidential Daily Diary reference: denuclearization signing with Yeltsin and Kravchuk,page 68,147870783,LPWJC 2013-0549-F,[01/01/1994-01/15/1994],Bill Clinton; Boris Yeltsin; Leonid Kravchuk,United States; Russia; Ukraine,NATO-Russia; European Security Architecture,The diary records Clinton participating in the Moscow signing ceremony for denuclearization agreements with Boris Yeltsin and Leonid Kravchuk.,Context for the Russia/Ukraine security architecture surrounding the January 1994 European trip.,"Chase summit memcons, trip book tabs, briefing materials, and delegation follow-up files.","Broader PDD release; verify page image, date range, and OCR hit before citing.",2010-0083-F; Brussels; NATO; Prague; Russia; Russian; Yeltsin,https://catalog.archives.gov/id/147870783,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-003-006-2018.pdf,42-t-101784486-20130549F-003-006-2018.pdf,,,,,
06,Medium-high,Briefing lead,1994-02-19,Presidential Daily Diary reference: Bosnia briefing with administration officials,pages 53 and 58,147870789,LPWJC 2013-0549-F,[02/14/1994-02/28/1994],Bill Clinton; Warren Christopher; William Perry; John Shalikashvili,United States; Bosnia and Herzegovina,Bosnia; NATO Strategy,The diary records a briefing on Bosnia and the radio address on the situation there; the appendix lists senior foreign-policy and defense participants.,"Use as a Bosnia/NATO crisis chronology lead; chase Situation Room, NSC, and public address drafts.","Chase briefing papers, decision memoranda, staff notes, and meeting readouts.","Broader PDD release; verify page image, date range, and OCR hit before citing.",Bosnia; Brussels; NATO; Russia; Russian; Yeltsin,https://catalog.archives.gov/id/147870789,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-003-009-2018.pdf,42-t-101784486-20130549F-003-009-2018.pdf,,,,,
07,High,Call or telcon lead,1994-02-20,Presidential Daily Diary reference: Bosnia calls with Woerner and Mitterrand,pages 62-63,147870789,LPWJC 2013-0549-F,[02/14/1994-02/28/1994],Bill Clinton; Manfred Woerner; Francois Mitterrand; Anthony Lake,United States; France; Bosnia and Herzegovina,Bosnia; NATO Strategy,"The diary records a conference call with NATO Secretary General Manfred Woerner, a call with French President Francois Mitterrand, a senior-adviser discussion on Bosnia, and a later call with Woerner in Brussels.",High-value lead for NATO action on Bosnia; chase telcons and NSC crisis-management files.,"Chase telcon text, call sheet, NSC prep notes, and same-day follow-up memoranda.","Broader PDD release; verify page image, date range, and OCR hit before citing.",Bosnia; Brussels; NATO; Russia; Russian; Yeltsin,https://catalog.archives.gov/id/147870789,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-003-009-2018.pdf,42-t-101784486-20130549F-003-009-2018.pdf,,,,,
08,Medium-high,Meeting lead,1994-02-21,Presidential Daily Diary reference: Bosnia and Sarajevo meeting and NATO-action statement,page 67,147870789,LPWJC 2013-0549-F,[02/14/1994-02/28/1994],Bill Clinton,United States; Bosnia and Herzegovina,Bosnia; NATO Strategy,The diary records a meeting on Bosnia and Sarajevo and a statement on the results of NATO action.,Use to align Bosnia/Sarajevo chronology with NATO air-power documents and public framing.,"Chase substantive memcon, briefing book, source image, and NSC follow-up files.","Broader PDD release; verify page image, date range, and OCR hit before citing.",Bosnia; Brussels; NATO; Russia; Russian; Yeltsin,https://catalog.archives.gov/id/147870789,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-003-009-2018.pdf,42-t-101784486-20130549F-003-009-2018.pdf,,,,,
09,Medium-high,Call or telcon lead,1994-04-10,Presidential Daily Diary reference: NATO bombing in Bosnia and Yeltsin conference call,pages 50 and 53,147870795,LPWJC 2013-0549-F,[04/01/1994-04/15/1994],Bill Clinton; Boris Yeltsin,United States; Russia; Bosnia and Herzegovina,Bosnia; NATO-Russia; NATO Strategy,"The diary records a Situation Room meeting on the recent NATO bombing in Bosnia, a press statement, an attempted Yeltsin call, and a later conference call with Yeltsin.",Use to connect Bosnia crisis management with Russia consultation; chase both briefing notes and telcon.,"Chase telcon text, call sheet, NSC prep notes, and same-day follow-up memoranda.","Broader PDD release; verify page image, date range, and OCR hit before citing.",2010-0083-F; Bosnia; NATO; Russia; Russian; Yeltsin,https://catalog.archives.gov/id/147870795,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-004-003-2018.pdf,42-t-101784486-20130549F-004-003-2018.pdf,,,,,
10,High,Summit or trip lead,1994-12-05,"Presidential Daily Diary reference: CSCE Budapest Summit and meetings with Yeltsin, Kohl, Croatian and Bosnian officials",pages 42-44,147870813,LPWJC 2013-0549-F,[12/01/1994-12/15/1994],Bill Clinton; Boris Yeltsin; Helmut Kohl,United States; Russia; Germany; Bosnia and Herzegovina; Croatia; Hungary,OSCE/CSCE; NATO-Russia; Bosnia; European Security Architecture,"The diary records the CSCE Budapest Summit plenary, the START I instruments signing with Yeltsin and other leaders, and meetings including Yeltsin, Kohl, and Croatian and Bosnian officials.",Use as an OSCE/CSCE and European security architecture anchor; chase summit memcons and delegation files.,"Chase summit memcons, trip book tabs, briefing materials, and delegation follow-up files.","Broader PDD release; verify page image, date range, and OCR hit before citing.",2010-0083-F; CSCE; Dayton; Russian; Yeltsin,https://catalog.archives.gov/id/147870813,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-004-012-2018.pdf,42-t-101784486-20130549F-004-012-2018.pdf,,,,,
