task_order,priority,gap_id,gap_label,coverage_status,current_total_records,current_document_records,direct_document_minimum,search_source,query,search_url,expected_record_type,target_evidence,extraction_action,promotion_queue_relation,searched_on,result_count,promising_hits,promoted_record_ids,notes
1,Hard gap,usnato_nac,"USNATO, NAC, and North Atlantic Council traffic",gap,5,3,10,NARA Catalog,"""USNATO"" OR ""North Atlantic Council"" OR ""NAC""",https://catalog.archives.gov/search?q=%22USNATO%22%20OR%20%22North%20Atlantic%20Council%22%20OR%20%22NAC%22&collectionIdentifier=WJC*,Cable traffic; briefing memoranda; NATO Mission file units,"Direct NATO institutional decision-making, not public or crisis-context mentions.","Open digital objects or PDFs; promote only dated documents with sender/recipient, page span, markings, and cable/file path.",Use before promoting generic NATO Scout Leads.,,,,,
2,Hard gap,usnato_nac,"USNATO, NAC, and North Atlantic Council traffic",gap,5,3,10,NARA Catalog,"""NATO Mission"" OR ""US Mission to NATO"" OR ""North Atlantic Council""",https://catalog.archives.gov/search?q=%22NATO%20Mission%22%20OR%20%22US%20Mission%20to%20NATO%22%20OR%20%22North%20Atlantic%20Council%22&collectionIdentifier=WJC*,Mission file units and diplomatic reporting,"USNATO reporting on enlargement, Russia, Kosovo, Bosnia, and alliance strategy.","Extract document-level cables and note whether the document is action, information, or scene-setter traffic.",,,,,,
3,Hard gap,cfe,CFE and conventional forces,gap,6,1,8,NARA Catalog,"""CFE"" OR ""Conventional Armed Forces in Europe"" OR ""Adapted CFE""",https://catalog.archives.gov/search?q=%22CFE%22%20OR%20%22Conventional%20Armed%20Forces%20in%20Europe%22%20OR%20%22Adapted%20CFE%22&collectionIdentifier=WJC*,Arms-control file units; treaty records; summit files,"CFE Treaty and adapted CFE decision records, especially Istanbul 1999.","Extract treaty/signing documents, policy memoranda, and meeting records with actual dates, page spans, markings, and declass status.",Use before broad European Security Architecture selections.,,,,,
4,Hard gap,cfe,CFE and conventional forces,gap,6,1,8,NARA Catalog,"""CFE"" ""Mamedov"" OR ""CFE"" ""Primakov"" OR ""CFE"" ""Yeltsin""",https://catalog.archives.gov/search?q=%22CFE%22%20%22Mamedov%22%20OR%20%22CFE%22%20%22Primakov%22%20OR%20%22CFE%22%20%22Yeltsin%22&collectionIdentifier=WJC*,Meeting memoranda; policy papers; correspondence,Russian negotiation channel around CFE and NATO-Russia architecture.,Cross-link to NATO-Russia records and note whether CFE is the main subject or contextual.,,,,,,
5,Hard gap,usnato_nac,"USNATO, NAC, and North Atlantic Council traffic",gap,5,3,10,NARA Scout,"""USNATO"" ""North Atlantic Council"" ""NAC""",https://therealjameswilson.github.io/nara-scout/,NARA Scout candidate file units,Additional WJC file-unit leads that may not surface in broad catalog queries.,Copy promising NAIDs into the promotion queue only after catalog object inspection.,,,,,,
6,Hard gap,usnato_nac,"USNATO, NAC, and North Atlantic Council traffic",gap,5,3,10,State FOIA,"""USNATO"" ""NATO enlargement""",https://foia.state.gov/Search/Results.aspx?searchText=%22USNATO%22%20%22NATO%20enlargement%22,Released State Department cables or memoranda,"Alliance consultations around Madrid, accession, and ratification.","Read released PDF; capture TAGS, subject, date, classification, addressees, and page span.",,,,,,
7,Hard gap,usnato_nac,"USNATO, NAC, and North Atlantic Council traffic",gap,5,3,10,State FOIA,"""North Atlantic Council"" ""Kosovo""",https://foia.state.gov/Search/Results.aspx?searchText=%22North%20Atlantic%20Council%22%20%22Kosovo%22,Released State Department cables or memoranda,NAC deliberations on Kosovo that can separate decision material from implementation context.,Promote direct decision records; mark operational context as context-only unless it carries policy direction.,,,,,,
8,Hard gap,cfe,CFE and conventional forces,gap,6,1,8,State FOIA,"""Conventional Armed Forces in Europe""",https://foia.state.gov/Search/Results.aspx?searchText=%22Conventional%20Armed%20Forces%20in%20Europe%22,Released State Department cables or memoranda,"Negotiating instructions, allied consultations, and arms-control summaries.","Capture subject, TAGS, classification, addressees, distribution, and source-note details.",,,,,,
9,Hard gap,cfe,CFE and conventional forces,gap,6,1,8,State FOIA,"""Adapted CFE"" OR ""CFE Treaty"" ""Istanbul""",https://foia.state.gov/Search/Results.aspx?searchText=%22Adapted%20CFE%22%20OR%20%22CFE%20Treaty%22%20%22Istanbul%22,Released State Department cables or memoranda,Istanbul summit CFE package and U.S.-Russian treaty handling.,Separate CFE substance from OSCE summit logistics and promote only direct CFE records.,,,,,,
10,Hard gap,usnato_nac,"USNATO, NAC, and North Atlantic Council traffic",gap,5,3,10,Clinton Library,"""North Atlantic Council"" ""S/S-S"" ""EUR/RPM""",https://www.clintonlibrary.gov/research,Clinton Library staff/office files,"Executive Secretariat and EUR/RPM routing for NAC, alliance strategy, and NATO Mission material.","Use as onsite pull language; record OA/ID, folder title, page span, withdrawal sheet, and exact source path.",,,,,,
11,Hard gap,cfe,CFE and conventional forces,gap,6,1,8,Clinton Library,"""CFE"" ""Istanbul"" ""OSCE""",https://www.clintonlibrary.gov/research,Clinton Library trip books and NSC/State staff files,"Onsite leads for Istanbul summit briefing books, signing chronology, and withdrawal sheets.",Use onsite pull sheet fields; verify actual document page span before promotion.,,,,,,
12,Hard gap,cfe,CFE and conventional forces,gap,6,1,8,Strobe Talbott FOIA,"""CFE"" OR ""Conventional Armed Forces"" OR ""Adapted CFE""",https://therealjameswilson.github.io/strobe-talbott-foia/manifest.html,"Strobe Talbott FOIA released letters, notes, and memoranda","Talbott-channel CFE leads tied to Mamedov, Primakov, Yeltsin, or NATO-Russia architecture.","Open the manifest/PDF entry; record date, sender, recipient, page span, markings if visible, and whether CFE is the main subject.",,,,,,
13,Hard gap,cfe,CFE and conventional forces,gap,6,1,8,GovInfo Public Papers,"""CFE Treaty"" ""Istanbul""",https://www.govinfo.gov/app/search/%7B%22query%22%3A%22%22CFE%20Treaty%22%20%22Istanbul%22%22%2C%22offset%22%3A0%2C%22pageSize%22%3A25%2C%22collection%22%3A%22PPP%22%7D,Public Papers context records,Public chronology and Presidential remarks around CFE signing.,Use as annotation/context only; chase internal record before selection.,,,,,,
14,Direct-document gap,osce_csce,OSCE and CSCE,direct-document gap,103,2,12,NARA Catalog,"""OSCE"" OR ""CSCE"" OR ""Budapest Summit"" OR ""Istanbul Summit""",https://catalog.archives.gov/search?q=%22OSCE%22%20OR%20%22CSCE%22%20OR%20%22Budapest%20Summit%22%20OR%20%22Istanbul%20Summit%22&collectionIdentifier=WJC*,Summit files; briefing books; policy memoranda,Architecture records that stand apart from Bosnia/Kosovo crisis implementation.,Promote summit decision records with direct OSCE/CSCE substance and exact source paths.,,,,,,
15,Direct-document gap,enlargement,"NATO enlargement, Madrid, accession, and ratification",direct-document gap,116,21,35,NARA Catalog,"""NATO enlargement"" OR ""Madrid Summit"" OR ""accession"" OR ""ratification""",https://catalog.archives.gov/search?q=%22NATO%20enlargement%22%20OR%20%22Madrid%20Summit%22%20OR%20%22accession%22%20OR%20%22ratification%22&collectionIdentifier=WJC*,NSC/State file units; briefing books; policy memoranda,"Direct decision records around Madrid, accession invitations, and Senate ratification.",Extract policy options and decision memoranda first; use public statements only for annotation.,,,,,,
16,Direct-document gap,pfp,Partnership for Peace and partnership policy,direct-document gap,50,6,12,NARA Catalog,"""Partnership for Peace"" OR ""PFP"" ""NATO""",https://catalog.archives.gov/search?q=%22Partnership%20for%20Peace%22%20OR%20%22PFP%22%20%22NATO%22&collectionIdentifier=WJC*,Policy memoranda; alliance consultation files,"Partnership policy as the main subject, not merely a background phrase.","Promote direct PfP policy records with dates, page spans, and source path.",,,,,,
17,Direct-document gap,germany,Germany,direct-document gap,72,7,10,NARA Catalog,"""Kohl"" ""NATO enlargement"" OR ""Germany"" ""NATO-Russia""",https://catalog.archives.gov/search?q=%22Kohl%22%20%22NATO%20enlargement%22%20OR%20%22Germany%22%20%22NATO-Russia%22&collectionIdentifier=WJC*,Leader-contact files; policy memoranda; trip files,German allied views on enlargement and NATO-Russia balancing.,"Promote direct German consultations with date, participants, source path, and declassification status.",,,,,,
18,Direct-document gap,united_kingdom,United Kingdom,direct-document gap,72,4,8,NARA Catalog,"""Major"" ""NATO enlargement"" OR ""Blair"" ""Kosovo"" ""NATO""",https://catalog.archives.gov/search?q=%22Major%22%20%22NATO%20enlargement%22%20OR%20%22Blair%22%20%22Kosovo%22%20%22NATO%22&collectionIdentifier=WJC*,Leader-contact files; briefing books; policy memoranda,"UK allied views on enlargement, Bosnia/Kosovo, and alliance strategy.",Promote direct UK consultations and avoid adding generic crisis implementation records.,,,,,,
19,Direct-document gap,poland,Poland,direct-document gap,63,7,8,NARA Catalog,"""Poland"" ""NATO accession"" OR ""Kwasniewski"" ""NATO""",https://catalog.archives.gov/search?q=%22Poland%22%20%22NATO%20accession%22%20OR%20%22Kwasniewski%22%20%22NATO%22&collectionIdentifier=WJC*,Leader-contact files; accession policy files,Polish accession-state representation and direct bilateral consultations.,Promote direct Polish records and cross-check against Madrid and ratification chronology.,,,,,,
20,Direct-document gap,osce_csce,OSCE and CSCE,direct-document gap,103,2,12,State FOIA,"""OSCE"" ""European security architecture""",https://foia.state.gov/Search/Results.aspx?searchText=%22OSCE%22%20%22European%20security%20architecture%22,Released State Department memoranda or cables,U.S. policy framing of OSCE relative to NATO and EU/WEU.,Extract direct policy records and mark crisis-only hits as context.,,,,,,
21,Direct-document gap,enlargement,"NATO enlargement, Madrid, accession, and ratification",direct-document gap,116,21,35,State FOIA,"""NATO enlargement"" ""Madrid""",https://foia.state.gov/Search/Results.aspx?searchText=%22NATO%20enlargement%22%20%22Madrid%22,Released cables or memoranda,State Department working record on Madrid summit alliance bargaining.,Capture source-note fields and cross-reference accession-state leader contacts.,,,,,,
22,Direct-document gap,pfp,Partnership for Peace and partnership policy,direct-document gap,50,6,12,State FOIA,"""Partnership for Peace"" ""Russia""",https://foia.state.gov/Search/Results.aspx?searchText=%22Partnership%20for%20Peace%22%20%22Russia%22,Released cables or memoranda,"PfP linkages to NATO-Russia, Ukraine, accession-state diplomacy, and alliance reassurance.",Extract main-subject records and mark incidental mentions for annotation only.,,,,,,
23,Direct-document gap,germany,Germany,direct-document gap,72,7,10,State FOIA,"""Germany"" ""NATO enlargement"" ""Russia""",https://foia.state.gov/Search/Results.aspx?searchText=%22Germany%22%20%22NATO%20enlargement%22%20%22Russia%22,Released State Department cables or memoranda,"Allied negotiations where Germany tests the U.S. position on enlargement, Russia, or Kosovo.",Extract direct policy records and connect to existing Kohl/Schroeder chronology entries.,,,,,,
24,Direct-document gap,united_kingdom,United Kingdom,direct-document gap,72,4,8,State FOIA,"""United Kingdom"" ""NATO enlargement"" OR ""Blair"" ""NATO""",https://foia.state.gov/Search/Results.aspx?searchText=%22United%20Kingdom%22%20%22NATO%20enlargement%22%20OR%20%22Blair%22%20%22NATO%22,Released State Department cables or memoranda,State reporting on UK alliance strategy and NATO policy.,"Capture cables with direct decision value, source-note markings, and addressee/distribution data.",,,,,,
25,Direct-document gap,poland,Poland,direct-document gap,63,7,8,State FOIA,"""Poland"" ""NATO enlargement"" ""accession""",https://foia.state.gov/Search/Results.aspx?searchText=%22Poland%22%20%22NATO%20enlargement%22%20%22accession%22,Released State Department cables or memoranda,"State Department handling of Polish accession, assurance, and allied reactions.",Extract direct accession records and preserve source-note details.,,,,,,
26,Direct-document gap,osce_csce,OSCE and CSCE,direct-document gap,103,2,12,Clinton Library,"""CSCE"" ""Budapest"" ""OSCE""",https://www.clintonlibrary.gov/research,Clinton Library trip books and staff files,"Budapest and Istanbul summit chronology, briefing material, and meeting files.","Record folder path, document title, date, markings, and whether the item supports a volume annotation or selection.",,,,,,
27,Direct-document gap,pfp,Partnership for Peace and partnership policy,direct-document gap,50,6,12,Clinton Library,"""Partnership for Peace"" ""open door""",https://www.clintonlibrary.gov/research,NSC/State staff folders,"Onsite policy and briefing files for PfP, MAP, and open-door decisions.",Log OA/ID and folder; promote only dated item-level documents.,,,,,,
28,Direct-document gap,enlargement,"NATO enlargement, Madrid, accession, and ratification",direct-document gap,116,21,35,Clinton Digital Library,"""NATO expansion"" OR ""NATO enlargement""",https://clinton.presidentiallibraries.us/items/browse?search=%22NATO%20expansion%22%20OR%20%22NATO%20enlargement%22,Clinton Digital Library finding aids and released items,Digital surrogates or folder-level leads for enlargement policy.,Promote only actual documents; keep folder titles in the pull sheet until inspected.,,,,,,
29,Direct-document gap,enlargement,"NATO enlargement, Madrid, accession, and ratification",direct-document gap,116,21,35,Strobe Talbott FOIA,"""NATO enlargement"" OR ""NATO expansion"" OR ""Madrid""",https://therealjameswilson.github.io/strobe-talbott-foia/manifest.html,"Strobe Talbott FOIA released notes, letters, and memoranda",Talbott-channel enlargement and NATO-Russia balancing records around Madrid and accession.,Promote only direct documentary evidence; use public or handwritten notes as annotation leads unless the record carries policy substance.,,,,,,
30,Direct-document gap,pfp,Partnership for Peace and partnership policy,direct-document gap,50,6,12,Strobe Talbott FOIA,"""Partnership for Peace"" OR ""PFP""",https://therealjameswilson.github.io/strobe-talbott-foia/manifest.html,"Strobe Talbott FOIA released notes, letters, and memoranda","PfP evidence where partnership policy intersects with Russia, Ukraine, accession, or reassurance.",Record whether PfP is the main subject and cross-reference NATO-Russia or enlargement records before promotion.,,,,,,
