chase_order,issue,record_id,date,type,title,source_name,source_id,source_note,source_note_addendum,catalog_url,pdf_url,compiler_action
1,needs-markings,strobe-hardgap-mar2023-C09000060,1997-01-01,Source Lead,DRAFT LETTER FROM THE SECRETARY TO CENTRAL EUROPEAN COUNTERPARTS w/Attached Facsimile Transmission,"Department of State, FOIA Virtual Reading Room",C09000060 (March 2023),"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Release March 2023, Document C09000060.","Hard-gap Strobe Talbott FOIA manifest lead. Verify PDF image, classification and handling markings, attachments, page span, excisions, and final source-note path before selection.",https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2023/FL-2017-13804/DOC_0C09000060/C09000060.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2023/FL-2017-13804/DOC_0C09000060/C09000060.pdf,"Open the released PDF/source image; record classification, handling markings, source page span, attachments, excisions, and final FRUS first-note text."
2,needs-markings,strobe-hardgap-july2024-C09000038,1997-01-01,Source Lead,On Course for Madrid,"Department of State, FOIA Virtual Reading Room",C09000038 (July 2024),"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Release July 2024, Document C09000038.","Hard-gap Strobe Talbott FOIA manifest lead. Verify PDF image, classification and handling markings, attachments, page span, excisions, and final source-note path before selection.",https://foia.state.gov/DOCUMENTS/FOIA_L_July2024/FL-2017-13804/DOC_0C09000038/C09000038.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_July2024/FL-2017-13804/DOC_0C09000038/C09000038.pdf,"Open the released PDF/source image; record classification, handling markings, source page span, attachments, excisions, and final FRUS first-note text."
3,needs-markings,strobe-hardgap-july2024-C09000039,1997-01-01,Source Lead,Additional Elements on CFE for NATO-Russia Document w/Attachment(s),"Department of State, FOIA Virtual Reading Room",C09000039 (July 2024),"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Release July 2024, Document C09000039.","Hard-gap Strobe Talbott FOIA manifest lead. Verify PDF image, classification and handling markings, attachments, page span, excisions, and final source-note path before selection.",https://foia.state.gov/DOCUMENTS/FOIA_L_July2024/FL-2017-13804/DOC_0C09000039/C09000039.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_July2024/FL-2017-13804/DOC_0C09000039/C09000039.pdf,"Open the released PDF/source image; record classification, handling markings, source page span, attachments, excisions, and final FRUS first-note text."
4,needs-markings,strobe-hardgap-july2024-C09000043,1997-01-01,Source Lead,Precis of Russian-CFE Counter-Proposal,"Department of State, FOIA Virtual Reading Room",C09000043 (July 2024),"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Release July 2024, Document C09000043.","Hard-gap Strobe Talbott FOIA manifest lead. Verify PDF image, classification and handling markings, attachments, page span, excisions, and final source-note path before selection.",https://foia.state.gov/DOCUMENTS/FOIA_L_July2024/FL-2017-13804/DOC_0C09000043/C09000043.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_July2024/FL-2017-13804/DOC_0C09000043/C09000043.pdf,"Open the released PDF/source image; record classification, handling markings, source page span, attachments, excisions, and final FRUS first-note text."
5,needs-markings,strobe-hardgap-feb2024-C09000122,1997-01-01,Source Lead,ST notes on Kissinger piece,"Department of State, FOIA Virtual Reading Room",C09000122 (February 2024),"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Release February 2024, Document C09000122.","Hard-gap Strobe Talbott FOIA manifest lead. Verify PDF image, classification and handling markings, attachments, page span, excisions, and final source-note path before selection.",https://foia.state.gov/DOCUMENTS/FOIA_L_Feb2024/FL-2017-13804/DOC_0C09000122/C09000122.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Feb2024/FL-2017-13804/DOC_0C09000122/C09000122.pdf,"Open the released PDF/source image; record classification, handling markings, source page span, attachments, excisions, and final FRUS first-note text."
6,needs-markings,strobe-hardgap-july2024-C09000044,1997-04-10,Source Lead,Checklist For GEM 4/10/97,"Department of State, FOIA Virtual Reading Room",C09000044 (July 2024),"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Release July 2024, Document C09000044.","Hard-gap Strobe Talbott FOIA manifest lead. Verify PDF image, classification and handling markings, attachments, page span, excisions, and final source-note path before selection.",https://foia.state.gov/DOCUMENTS/FOIA_L_July2024/FL-2017-13804/DOC_0C09000044/C09000044.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_July2024/FL-2017-13804/DOC_0C09000044/C09000044.pdf,"Open the released PDF/source image; record classification, handling markings, source page span, attachments, excisions, and final FRUS first-note text."
7,needs-markings,strobe-hardgap-july2022-C09000060,1998-09-28,Source Lead,"DEPUTY SECRETARY TALBOTT BRIEFING TOTHE NAC ON MOSCOW SUMMIT, THE WAY AHEAD WITH RUSIA","Department of State, FOIA Virtual Reading Room",C09000060 (July 2022),"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Release July 2022, Document C09000060.","Hard-gap Strobe Talbott FOIA manifest lead. Verify PDF image, classification and handling markings, attachments, page span, excisions, and final source-note path before selection.",https://foia.state.gov/DOCUMENTS/FOIA_L_July2022/FL-2017-13804/DOC_0C09000060/C09000060.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_July2022/FL-2017-13804/DOC_0C09000060/C09000060.pdf,"Open the released PDF/source image; record classification, handling markings, source page span, attachments, excisions, and final FRUS first-note text."
8,needs-markings,strobe-hardgap-july2022-C09000063,2000-06-08,Source Lead,DEPUTY SECRETARY BRIEFS THE NAC ON MOSCOW SUMMIT,"Department of State, FOIA Virtual Reading Room",C09000063 (July 2022),"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Release July 2022, Document C09000063.","Hard-gap Strobe Talbott FOIA manifest lead. Verify PDF image, classification and handling markings, attachments, page span, excisions, and final source-note path before selection.",https://foia.state.gov/DOCUMENTS/FOIA_L_July2022/FL-2017-13804/DOC_0C09000063/C09000063.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_July2022/FL-2017-13804/DOC_0C09000063/C09000063.pdf,"Open the released PDF/source image; record classification, handling markings, source page span, attachments, excisions, and final FRUS first-note text."
9,needs-markings,strobe-hardgap-oct2024-C09000035,1996-06-10,Source Lead,The CFE Review Conference: A Retrospective w/Attachment(s),"Department of State, FOIA Virtual Reading Room",C09000035 (October 2024),"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Release October 2024, Document C09000035.","Hard-gap Strobe Talbott FOIA manifest lead. Verify PDF image, classification and handling markings, attachments, page span, excisions, and final source-note path before selection.",https://foia.state.gov/DOCUMENTS/FOIA_L_Oct2024/FL-2017-13804/DOC_0C09000035/C09000035.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Oct2024/FL-2017-13804/DOC_0C09000035/C09000035.pdf,"Open the released PDF/source image; record classification, handling markings, source page span, attachments, excisions, and final FRUS first-note text."
10,needs-markings,strobe-hardgap-apr2023-C09000073,1997-01-01,Source Lead,Note from Strobe to Chris,"Department of State, FOIA Virtual Reading Room",C09000073 (April 2023),"Source: Department of State, FOIA Virtual Reading Room, Strobe Talbott FOIA release, Release April 2023, Document C09000073.","Hard-gap Strobe Talbott FOIA manifest lead. Verify PDF image, classification and handling markings, attachments, page span, excisions, and final source-note path before selection.",https://foia.state.gov/DOCUMENTS/FOIA_L_Apr2023/FL-2017-13804/DOC_0C09000073/C09000073.pdf,https://foia.state.gov/DOCUMENTS/FOIA_L_Apr2023/FL-2017-13804/DOC_0C09000073/C09000073.pdf,"Open the released PDF/source image; record classification, handling markings, source page span, attachments, excisions, and final FRUS first-note text."
